date,2m_temperature_mean,potential_evapotranspiration,total_precipitation,QObs(mm/d)
1981-01-01,0.0256271362304687,0.4302779138088226,13.056710243225098,50.99
1981-01-02,6.2093658447265625,0.0849818959832191,38.8957633972168,122.5
1981-01-03,1.153034210205078,0.0200855992734432,7.662493705749512,28.44
1981-01-04,-2.1455650329589844,0.0808841288089752,6.746763229370117,11.29
1981-01-05,-3.22052001953125,0.013803357258439,9.269227981567385,9.398
1981-01-06,-0.3700981140136719,0.0840063542127609,3.6427135467529297,8.597
1981-01-07,1.3777694702148438,0.1047846749424934,1.339923620223999,26.86
1981-01-08,5.936870574951172,0.1082973033189773,9.243980407714844,37.73
1981-01-09,0.2424964904785156,0.1398175358772277,6.93193244934082,18.45
1981-01-10,-2.1703872680664062,0.0841953828930854,0.7145683765411377,8.453
1981-01-11,2.386680603027344,0.1708862483501434,8.563915252685547,20.3
1981-01-12,-2.0583648681640625,0.1718921363353729,11.543401718139648,12.27
1981-01-13,-0.4948921203613281,0.1048948317766189,8.721307754516602,36.78
1981-01-14,0.8432121276855469,0.149853840470314,23.30816650390625,38.39
1981-01-15,-4.8532257080078125,0.0054824333637952,2.400416851043701,10.01
1981-01-16,-6.148181915283203,0.153985783457756,9.682487487792969,6.068
1981-01-17,-1.3290557861328125,0.1016514003276825,1.568015694618225,4.769
1981-01-18,-1.814533233642578,0.1127167344093322,8.01852035522461,9.261
1981-01-19,0.1465225219726562,0.2232586443424224,9.924043655395508,10.76
1981-01-20,0.0990219116210937,0.1419821679592132,1.1135153770446775,8.389
1981-01-21,3.5889434814453125,0.1347012668848037,4.857231140136719,40.37
1981-01-22,3.8787765502929688,0.0887946337461471,2.48711371421814,22.43
1981-01-23,5.626899719238281,0.1771537065505981,3.804309368133545,27.09
1981-01-24,2.515731811523437,0.3436444997787475,12.941401481628418,20.47
1981-01-25,0.4753150939941406,0.0442984104156494,2.0427145957946777,13.61
1981-01-26,3.434223175048828,0.1090558692812919,18.54267120361328,60.26
1981-01-27,5.019004821777344,0.1395554542541504,0.1043621450662612,15.17
1981-01-28,4.579536437988281,0.1789649575948715,0.1489687711000442,8.044
1981-01-29,5.9218292236328125,0.1653504967689514,9.841557502746582,23.69
1981-01-30,5.577873229980469,0.0916191637516021,0.4140939712524414,16.98
1981-01-31,5.4654388427734375,0.1656515002250671,0.1754425466060638,11.98
1981-02-01,5.701580047607422,0.215211808681488,2.8757266998291016,18.24
